Country,Count
Spain,14
United Kingdom,33
Sweden,47
Australia,33
France,24
Colombia,12
Netherlands,16
Japan,38
Jamaica,7
Morocco,4
Nigeria,30
Denmark,18
South Africa,7
United States of America,53
Switzerland,8
Norway,44
South Korea,13
Germany,47
Italy,15
Argentina,12
Brazil,37
Panama,3
Vietnam,3
Portugal,3
Haiti,3
China,36
Costa Rica,6
Zambia,3
Ireland,3
Canada,30
New Zealand,18
Philippines,3
Cameroon,8
Thailand,6
Chile,3
Scotland,3
Mexico,9
Ecuador,3
C̫te d'Ivoire,3
Equatorial Guinea,3
North Korea,13
Ghana,9
Russia,8
United States,1
Chinese Taipei,4
